eps,min_samples,n_clusters,n_noise,silhouette
0.3,3,17,73,-0.2849
0.3,4,13,126,-0.1612
0.3,5,14,180,-0.1238
0.3,6,10,270,-0.0253
0.31,3,14,58,-0.2733
0.31,4,9,96,-0.142
0.31,5,11,152,-0.1306
0.31,6,11,219,-0.0462
0.32,3,13,52,-0.2669
0.32,4,8,86,-0.0187
0.32,5,10,127,-0.1493
0.32,6,12,174,-0.0991
0.33,3,10,52,-0.1243
0.33,4,8,80,-0.1688
0.33,5,10,104,-0.0561
0.33,6,9,157,-0.0754
0.34,3,9,41,-0.1244
0.34,4,5,70,0.1161
0.34,5,9,84,-0.0973
0.34,6,7,130,-0.02
0.35,3,9,26,-0.1201
0.35,4,5,52,0.11
0.35,5,6,70,-0.1293
0.35,6,5,110,0.105
0.36,3,8,22,-0.0807
0.36,4,4,45,0.1667
0.36,5,4,62,-0.0212
0.36,6,4,92,0.0977
0.37,3,6,20,-0.1098
0.37,4,4,40,0.0797
0.37,5,4,59,-0.0218
0.37,6,3,82,0.2269
0.38,3,5,17,0.1313
0.38,4,3,34,0.2821
0.38,5,3,49,0.1898
0.38,6,4,62,0.1679
0.39,3,5,16,0.1302
0.39,4,3,28,0.282
0.39,5,3,42,0.1964
0.39,6,4,57,0.1688
0.4,3,5,16,0.1302
0.4,4,2,27,0.3293
0.4,5,3,38,0.1957
0.4,6,4,50,0.1666
0.41,3,5,14,0.1299
0.41,4,2,26,0.3292
0.41,5,1,36,
0.41,6,3,38,0.2189
0.42,3,5,14,0.1299
0.42,4,2,26,0.3292
0.42,5,1,34,
0.42,6,2,38,0.3124
0.43,3,5,12,0.1271
0.43,4,3,20,0.2599
0.43,5,1,33,
0.43,6,1,35,
0.44,3,4,12,0.1492
0.44,4,2,20,0.3222
0.44,5,1,28,
0.44,6,1,32,
0.45,3,4,11,0.149
0.45,4,2,19,0.3218
0.45,5,1,27,
0.45,6,1,29,
0.46,3,4,9,0.147
0.46,4,2,17,0.3196
0.46,5,1,24,
0.46,6,1,28,
0.47,3,4,9,0.147
0.47,4,2,16,0.3184
0.47,5,1,24,
0.47,6,1,26,
0.48,3,4,8,0.1469
0.48,4,2,15,0.3185
0.48,5,1,22,
0.48,6,1,23,
0.49,3,4,8,0.1469
0.49,4,2,15,0.3185
0.49,5,1,22,
0.49,6,1,23,
0.5,3,4,8,0.1469
0.5,4,2,15,0.3185
0.5,5,1,22,
0.5,6,1,23,
